+----------+---------------------+-----------------+--------------+----------+---------+
| id       | login_time          | from_ip         | description  | sec_user | version |
+----------+---------------------+-----------------+--------------+----------+---------+
| LH000076 | 2018-12-22 17:42:36 | 139.207.49.40   | 成功登陆     | SU000002 |       1 |
| LH000077 | 2018-12-22 17:42:53 | 139.207.49.40   | 成功登陆     | SU000002 |       1 |
| LH000078 | 2018-12-22 17:42:59 | 139.207.49.40   | 成功登陆     | NULL     |       2 |
| LH000079 | 2018-12-22 17:43:09 | 139.207.49.40   | 成功登陆     | SU000003 |       1 |
| LH000080 | 2018-12-22 17:43:46 | 139.207.49.40   | 成功登陆     | SU000002 |       1 |
| LH000081 | 2018-12-22 17:49:28 | 139.207.49.40   | 成功登陆     | SU000002 |       1 |
| LH000082 | 2018-12-22 17:54:55 | 139.207.49.40   | 成功登陆     | SU000002 |       1 |
| LH000083 | 2018-12-22 17:55:04 | 139.207.49.40   | 成功登陆     | SU000004 |       1 |
| LH000084 | 2018-12-22 18:13:11 | 183.128.181.243 | 成功登陆     | SU000002 |       1 |
| LH000085 | 2018-12-22 18:15:38 | 183.128.181.243 | 成功登陆     | SU000002 |       1 |
| LH000086 | 2018-12-22 20:13:39 | 86.92.137.16    | 成功登陆     | NULL     |       2 |
| LH000087 | 2018-12-22 21:38:37 | 222.209.98.153  | 成功登陆     | SU000004 |       1 |
| LH000088 | 2018-12-23 00:24:00 | 35.194.253.4    | 成功登陆     | SU000002 |       1 |
| LH000089 | 2018-12-23 01:54:47 | 35.194.253.4    | 成功登陆     | SU000025 |       1 |
| LH000090 | 2018-12-23 09:44:39 | 111.193.64.55   | 成功登陆     | SU000002 |       1 |
| LH000091 | 2018-12-23 09:44:45 | 111.193.64.55   | 成功登陆     | SU000002 |       1 |
| LH000092 | 2018-12-23 09:44:48 | 111.193.64.55   | 成功登陆     | SU000002 |       1 |
| LH000093 | 2018-12-23 12:56:54 | 182.148.41.52   | 成功登陆     | NULL     |       2 |
| LH000094 | 2018-12-23 13:12:48 | 222.175.63.174  | 成功登陆     | SU000002 |       1 |
| LH000095 | 2018-12-23 13:49:40 | 125.80.145.26   | 成功登陆     | NULL     |       2 |
| LH000096 | 2018-12-23 16:45:24 | 119.247.119.123 | 成功登陆     | SU000002 |       1 |
| LH000097 | 2018-12-23 16:45:30 | 119.247.119.123 | 成功登陆     | SU000002 |       1 |
| LH000098 | 2018-12-23 16:45:31 | 119.247.119.123 | 成功登陆     | SU000002 |       1 |
| LH000099 | 2018-12-23 20:17:33 | 125.82.191.61   | 成功登陆     | SU000002 |       1 |
| LH000100 | 2018-12-23 23:39:27 | 121.35.0.145    | 成功登陆     | NULL     |       2 |
| LH000101 | 2018-12-23 23:39:32 | 121.35.0.145    | 成功登陆     | NULL     |       2 |
| LH000102 | 2018-12-24 00:30:47 | 121.35.0.145    | 成功登陆     | NULL     |       2 |
| LH000103 | 2018-12-24 00:55:48 | 223.72.94.126   | 成功登陆     | SU000002 |       1 |
| LH000104 | 2018-12-24 08:48:06 | 104.190.165.75  | 成功登陆     | NULL     |       2 |
