id,pid,deep,name,ext_name
11,0,0,北京,北京市
1101,11,1,北京,市辖区
110101,1101,2,东城,东城区
110102,1101,2,西城,西城区
110105,1101,2,朝阳,朝阳区
110106,1101,2,丰台,丰台区
110107,1101,2,石景山,石景山区
110108,1101,2,海淀,海淀区
110109,1101,2,门头沟,门头沟区
110111,1101,2,房山,房山区
110112,1101,2,通州,通州区
110113,1101,2,顺义,顺义区
110114,1101,2,昌平,昌平区
110115,1101,2,大兴,大兴区
110116,1101,2,怀柔,怀柔区
110117,1101,2,平谷,平谷区
110118,1101,2,密云,密云区
110119,1101,2,延庆,延庆区
12,0,0,天津,天津市
1201,12,1,天津,市辖区
120101,1201,2,和平,和平区
120102,1201,2,河东,河东区
120103,1201,2,河西,河西区
120104,1201,2,南开,南开区
120105,1201,2,河北,河北区
120106,1201,2,红桥,红桥区
120110,1201,2,东丽,东丽区
120111,1201,2,西青,西青区
120112,1201,2,津南,津南区
120113,1201,2,北辰,北辰区
120114,1201,2,武清,武清区
120115,1201,2,宝坻,宝坻区
120116,1201,2,滨海新区,滨海新区
120117,1201,2,宁河,宁河区
120118,1201,2,静海,静海区
120119,1201,2,蓟州,蓟州区
13,0,0,河北,河北省
1301,13,1,石家庄,石家庄市
130102,1301,2,长安,长安区
130104,1301,2,桥西,桥西区
130105,1301,2,新华,新华区
130107,1301,2,井陉矿区,井陉矿区
130108,1301,2,裕华,裕华区
130109,1301,2,藁城,藁城区
130110,1301,2,鹿泉,鹿泉区
130111,1301,2,栾城,栾城区
130121,1301,2,井陉,井陉县
130123,1301,2,正定,正定县
130125,1301,2,行唐,行唐县
130126,1301,2,灵寿,灵寿县
130127,1301,2,高邑,高邑县
130128,1301,2,深泽,深泽县
130129,1301,2,赞皇,赞皇县
130130,1301,2,无极,无极县
130131,1301,2,平山,平山县
130132,1301,2,元氏,元氏县
130133,1301,2,赵县,赵县
130181,1301,2,辛集,辛集市
130183,1301,2,晋州,晋州市
130184,1301,2,新乐,新乐市
1302,13,1,唐山,唐山市
130202,1302,2,路南,路南区
130203,1302,2,路北,路北区
130204,1302,2,古冶,古冶区
130205,1302,2,开平,开平区
130207,1302,2,丰南,丰南区
130208,1302,2,丰润,丰润区
130209,1302,2,曹妃甸,曹妃甸区
130224,1302,2,滦南,滦南县
130225,1302,2,乐亭,乐亭县
130227,1302,2,迁西,迁西县
130229,1302,2,玉田,玉田县
130281,1302,2,遵化,遵化市
130283,1302,2,迁安,迁安市
130284,1302,2,滦州,滦州市
1303,13,1,秦皇岛,秦皇岛市
130302,1303,2,海港,海港区
130303,1303,2,山海关,山海关区
130304,1303,2,北戴河,北戴河区
130306,1303,2,抚宁,抚宁区
130321,1303,2,青龙,青龙满族自治县
130322,1303,2,昌黎,昌黎县
130324,1303,2,卢龙,卢龙县
1304,13,1,邯郸,邯郸市
130402,1304,2,邯山,邯山区
130403,1304,2,丛台,丛台区
130404,1304,2,复兴,复兴区
130406,1304,2,峰峰矿区,峰峰矿区
130407,1304,2,肥乡,肥乡区
130408,1304,2,永年,永年区
130423,1304,2,临漳,临漳县
130424,1304,2,成安,成安县
130425,1304,2,大名,大名县
130426,1304,2,涉县,涉县
130427,1304,2,磁县,磁县
130430,1304,2,邱县,邱县
130431,1304,2,鸡泽,鸡泽县
130432,1304,2,广平,广平县
130433,1304,2,馆陶,馆陶县
130434,1304,2,魏县,魏县
130435,1304,2,曲周,曲周县
130481,1304,2,武安,武安市
1305,13,1,邢台,邢台市
130502,1305,2,桥东,桥东区
130503,1305,2,桥西,桥西区
130521,1305,2,邢台县,邢台县
130522,1305,2,临城,临城县
130523,1305,2,内丘,内丘县
130524,1305,2,柏乡,柏乡县
130525,1305,2,隆尧,隆尧县
130526,1305,2,任县,任县
130527,1305,2,南和,南和县
130528,1305,2,宁晋,宁晋县
130529,1305,2,巨鹿,巨鹿县
130530,1305,2,新河,新河县
130531,1305,2,广宗,广宗县
130532,1305,2,平乡,平乡县
130533,1305,2,威县,威县
130534,1305,2,清河,清河县
130535,1305,2,临西,临西县
130581,1305,2,南宫,南宫市
130582,1305,2,沙河,沙河市
1306,13,1,保定,保定市
130602,1306,2,竞秀,竞秀区
130606,1306,2,莲池,莲池区
130607,1306,2,满城,满城区
130608,1306,2,清苑,清苑区
130609,1306,2,徐水,徐水区
130623,1306,2,涞水,涞水县
130624,1306,2,阜平,阜平县
130626,1306,2,定兴,定兴县
130627,1306,2,唐县,唐县
130628,1306,2,高阳,高阳县
130629,1306,2,容城,容城县
130630,1306,2,涞源,涞源县
130631,1306,2,望都,望都县
130632,1306,2,安新,安新县
130633,1306,2,易县,易县
130634,1306,2,曲阳,曲阳县
130635,1306,2,蠡县,蠡县
130636,1306,2,顺平,顺平县
130637,1306,2,博野,博野县
130638,1306,2,雄县,雄县
130681,1306,2,涿州,涿州市
130682,1306,2,定州,定州市
130683,1306,2,安国,安国市
130684,1306,2,高碑店,高碑店市
1307,13,1,张家口,张家口市
130702,1307,2,桥东,桥东区
130703,1307,2,桥西,桥西区
130705,1307,2,宣化,宣化区
130706,1307,2,下花园,下花园区
130708,1307,2,万全,万全区
130709,1307,2,崇礼,崇礼区
130722,1307,2,张北,张北县
130723,1307,2,康保,康保县
130724,1307,2,沽源,沽源县
130725,1307,2,尚义,尚义县
130726,1307,2,蔚县,蔚县
130727,1307,2,阳原,阳原县
130728,1307,2,怀安,怀安县
130730,1307,2,怀来,怀来县
130731,1307,2,涿鹿,涿鹿县
130732,1307,2,赤城,赤城县
1308,13,1,承德,承德市
130802,1308,2,双桥,双桥区
130803,1308,2,双滦,双滦区
