18-11-24T07:39:07.368	loadSingleObje.	UA000000	select * from user_app_data where id= 'UA000000';
18-11-24T07:39:07.371	loadSingleObje.	SU000001	select * from sec_user_data where id= 'SU000001';
18-11-24T07:39:07.374	queryForList	0 ROWS		select * from list_access_data where app = 'UA000000' ;
18-11-24T07:39:07.380	queryForList	0 ROWS		select * from object_access_data where app = 'UA000000' ;
18-11-24T07:39:07.386	loadSingleObje.	M000001		select * from moyi_data where id= 'M000001';
18-11-24T07:39:07.389	queryForList	1 ROWS		select * from moyi_platform_configuration_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:07.392	queryForList	3 ROWS		select * from survival_status_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:07.395	queryForList	5 ROWS		select * from slide_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:07.395	statsWithGroup	PENDING		select slide_type, count(*) as count from slide_data where (moyi='M000001') group by slide_type;
18-11-24T07:39:07.400	statsWithGroup	PENDING		select linked_artwork, count(*) as count from slide_data where (moyi='M000001') group by linked_artwork;
18-11-24T07:39:07.403	statsWithGroup	PENDING		select linked_article, count(*) as count from slide_data where (moyi='M000001') group by linked_article;
18-11-24T07:39:07.408	queryForList	4 ROWS		select * from slide_type_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:07.411	queryForList	7 ROWS		select * from channel_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:07.411	statsWithGroup	PENDING		select channel_type, count(*) as count from channel_data where (moyi='M000001') group by channel_type;
18-11-24T07:39:07.414	statsWithGroup	PENDING		select active, count(*) as count from channel_data where (moyi='M000001') group by active;
18-11-24T07:39:07.417	statsWithGroup	PENDING		select art_type, count(*) as count from channel_data where (moyi='M000001') group by art_type;
18-11-24T07:39:07.573	queryForList	2 ROWS		select * from channel_type_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:07.578	queryForList	3 ROWS		select * from channel_section_type_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:07.583	queryForList	8 ROWS		select * from channel_section_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:07.583	statsWithGroup	PENDING		select date(added_time), count(*) as count from channel_section_data where (moyi='M000001') group by date(added_time);
18-11-24T07:39:07.585	statsWithGroup	PENDING		select channel_section_type, count(*) as count from channel_section_data where (moyi='M000001') group by channel_section_type;
18-11-24T07:39:07.590	statsWithGroup	PENDING		select active, count(*) as count from channel_section_data where (moyi='M000001') group by active;
18-11-24T07:39:07.592	statsWithGroup	PENDING			select section, count(*) as count from channel_section_data where (moyi='M000001') group by section;
18-11-24T07:39:07.598	statsWithGroup	PENDING		select channel, count(*) as count from channel_section_data where (moyi='M000001') group by channel;
18-11-24T07:39:07.605	queryForList	0 ROWS		select * from master_column_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:07.605	statsWithGroup	PENDING		select date(create_time), count(*) as count from master_column_data where (moyi='M000001') group by date(create_time);
18-11-24T07:39:07.608	statsWithGroup	PENDING		select column_author, count(*) as count from master_column_data where (moyi='M000001') group by column_author;
18-11-24T07:39:07.610	statsWithGroup	PENDING		select active, count(*) as count from master_column_data where (moyi='M000001') group by active;
18-11-24T07:39:07.619	queryForList	7 ROWS		select * from section_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:07.619	statsWithGroup	PENDING		select active, count(*) as count from section_data where (moyi='M000001') group by active;
18-11-24T07:39:07.624	queryForList	8 ROWS		select * from moderator_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:07.624	statsWithGroup	PENDING		select date(start_date), count(*) as count from moderator_data where (moyi='M000001') group by date(start_date);
18-11-24T07:39:07.626	statsWithGroup	PENDING		select responsible_section, count(*) as count from moderator_data where (moyi='M000001') group by responsible_section;
18-11-24T07:39:07.629	statsWithGroup	PENDING		select responsible_user, count(*) as count from moderator_data where (moyi='M000001') group by responsible_user;
18-11-24T07:39:07.633	queryForList	0 ROWS		select * from moderator_punishment_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:07.633	statsWithGroup	PENDING		select date(punished_datetime), count(*) as count from moderator_punishment_data where (moyi='M000001') group by date(punished_datetime);
18-11-24T07:39:07.637	statsWithGroup	PENDING		select punisher, count(*) as count from moderator_punishment_data where (moyi='M000001') group by punisher;
18-11-24T07:39:07.643	statsWithGroup	PENDING		select punished_user, count(*) as count from moderator_punishment_data where (moyi='M000001') group by punished_user;
18-11-24T07:39:07.646	statsWithGroup	PENDING		select violation_article, count(*) as count from moderator_punishment_data where (moyi='M000001') group by violation_article;
18-11-24T07:39:07.650	statsWithGroup	PENDING		select violation_review, count(*) as count from moderator_punishment_data where (moyi='M000001') group by violation_review;
18-11-24T07:39:07.655	queryForList	0 ROWS		select * from moderator_bonus_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:07.655	statsWithGroup	PENDING		select date(bonus_datetime), count(*) as count from moderator_bonus_data where (moyi='M000001') group by date(bonus_datetime);
18-11-24T07:39:07.658	statsWithGroup	PENDING		select moderator, count(*) as count from moderator_bonus_data where (moyi='M000001') group by moderator;
18-11-24T07:39:07.662	queryForList	0 ROWS		select * from article_bonus_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:07.662	statsWithGroup	PENDING		select date(bonus_datetime), count(*) as count from article_bonus_data where (moyi='M000001') group by date(bonus_datetime);
